Prefijo,Componentes_CHL,Modelos,Fenotipos,Heredabilidad
CBaya,C,BRR,CBaya.C,0.0525433479466372
CBaya,C,BRR,CBaya.C,0.0313260733381929
CBaya,C,BRR,CBaya.C,0.0337103548708799
CBaya,C,BRR,CBaya.C,0.0298726813146394
CBaya,C,BRR,CBaya.C,0.024314719978789
CBaya,C,BRR,CBaya.C,0.0253354019103918
CBaya,C,BRR,CBaya.C,0.0220877268390194
CBaya,C,BRR,CBaya.C,0.0219920967856619
CBaya,C,BRR,CBaya.C,0.020088558396451
CBaya,C,BRR,CBaya.C,0.0204910115005177
CBaya,C,BRR,CBaya.C,0.0211064883819634
CBaya,C,BRR,CBaya.C,0.0236859387700587
CBaya,C,BRR,CBaya.C,0.0264373109747854
CBaya,C,BRR,CBaya.C,0.0280527526373995
CBaya,C,BRR,CBaya.C,0.0272653181523605
CBaya,C,BRR,CBaya.C,0.0237662595268857
CBaya,C,BRR,CBaya.C,0.0285507683370728
CBaya,C,BRR,CBaya.C,0.0318979611862539
CBaya,C,BRR,CBaya.C,0.0225487906746511
CBaya,C,BRR,CBaya.C,0.0258241858428511
CBaya,C,BRR,CBaya.C,0.0291082227995876
CBaya,C,BRR,CBaya.C,0.0325695295007655
CBaya,C,BRR,CBaya.C,0.0221066352578824
CBaya,C,BRR,CBaya.C,0.024186517059594
CBaya,C,BRR,CBaya.C,0.0279262718456599
CBaya,C,BRR,CBaya.C,0.0270525693363923
CBaya,C,BRR,CBaya.C,0.0253040073347367
CBaya,C,BRR,CBaya.C,0.0264599309788032
CBaya,C,BRR,CBaya.C,0.0333302483165309
CBaya,C,BRR,CBaya.C,0.0343056353926173
CBaya,C,BRR,CBaya.C,0.0267869638652324
CBaya,C,BRR,CBaya.C,0.0287272165823143
CBaya,C,BRR,CBaya.C,0.0288519335864975
CBaya,C,BRR,CBaya.C,0.0297225398041484
CBaya,C,BRR,CBaya.C,0.0258840791661687
CBaya,C,BRR,CBaya.C,0.032125146375818
CBaya,C,BRR,CBaya.C,0.0330983505491961
CBaya,C,BRR,CBaya.C,0.0336118099499348
CBaya,C,BRR,CBaya.C,0.033641314365059
CBaya,C,BRR,CBaya.C,0.0346829823989884
CBaya,C,BRR,CBaya.C,0.0363412627581118
CBaya,C,BRR,CBaya.C,0.0420690926212254
CBaya,C,BRR,CBaya.C,0.0357792792778382
CBaya,C,BRR,CBaya.C,0.023716414731242
CBaya,C,BRR,CBaya.C,0.0240278702967315
CBaya,C,BRR,CBaya.C,0.0237367032902525
CBaya,C,BRR,CBaya.C,0.023834639632199
CBaya,C,BRR,CBaya.C,0.0245993553412872
CBaya,C,BRR,CBaya.C,0.0261193306117103
CBaya,C,BRR,CBaya.C,0.0276538207128652
CBaya,C,BRR,CBaya.C,0.0228095501092321
CBaya,C,BRR,CBaya.C,0.0245695719896153
CBaya,C,BRR,CBaya.C,0.0166380658483817
CBaya,C,BRR,CBaya.C,0.0172536495276841
CBaya,C,BRR,CBaya.C,0.0248023210843964
CBaya,C,BRR,CBaya.C,0.0223893968039419
CBaya,C,BRR,CBaya.C,0.022142787793307
CBaya,C,BRR,CBaya.C,0.0269091021025241
CBaya,C,BRR,CBaya.C,0.0238084171911262
CBaya,C,BRR,CBaya.C,0.0226004535057895
CBaya,C,BRR,CBaya.C,0.0210575889159507
CBaya,C,BRR,CBaya.C,0.0247881547425185
CBaya,C,BRR,CBaya.C,0.0286689901756819
CBaya,C,BRR,CBaya.C,0.0294126599868905
CBaya,C,BRR,CBaya.C,0.030056743704943
CBaya,C,BRR,CBaya.C,0.0360093999407598
CBaya,C,BRR,CBaya.C,0.0314690137568882
CBaya,C,BRR,CBaya.C,0.0261975104184481
CBaya,C,BRR,CBaya.C,0.0347165511475191
CBaya,C,BRR,CBaya.C,0.0297183881718774
CBaya,C,BRR,CBaya.C,0.0306839216228496
CBaya,C,BRR,CBaya.C,0.0325234670188072
CBaya,C,BRR,CBaya.C,0.0385055617082531
CBaya,C,BRR,CBaya.C,0.0343699236106454
CBaya,C,BRR,CBaya.C,0.0352213493148115
CBaya,C,BRR,CBaya.C,0.0237851427774833
CBaya,C,BRR,CBaya.C,0.0286267149927873
CBaya,C,BRR,CBaya.C,0.0343390334228617
CBaya,C,BRR,CBaya.C,0.0301278401974904
CBaya,C,BRR,CBaya.C,0.027916228130027
CBaya,C,BRR,CBaya.C,0.0275719573021887
CBaya,C,BRR,CBaya.C,0.0347515368513954
CBaya,C,BRR,CBaya.C,0.031424260026152
CBaya,C,BRR,CBaya.C,0.0283235766578733
CBaya,C,BRR,CBaya.C,0.0331204780485936
CBaya,C,BRR,CBaya.C,0.0319476732871003
CBaya,C,BRR,CBaya.C,0.0293986510446679
CBaya,C,BRR,CBaya.C,0.0286028238974795
CBaya,C,BRR,CBaya.C,0.0239839721609032
CBaya,C,BRR,CBaya.C,0.0335017042535694
CBaya,C,BRR,CBaya.C,0.0359968883973089
CBaya,C,BRR,CBaya.C,0.0305265550733199
CBaya,C,BRR,CBaya.C,0.0335811760257899
CBaya,C,BRR,CBaya.C,0.0383053511434214
CBaya,C,BRR,CBaya.C,0.0339773189388882
CBaya,C,BRR,CBaya.C,0.0462845867333074
CBaya,C,BRR,CBaya.C,0.0505596790944793
CBaya,C,BRR,CBaya.C,0.0405170192954357
CBaya,C,BRR,CBaya.C,0.0365111906811752
CBaya,C,BRR,CBaya.C,0.0422311161165708
CBaya,C,BRR,CBaya.C,0.0372251300842097
CBaya,C,BRR,CBaya.C,0.0318119778634096
CBaya,C,BRR,CBaya.C,0.0486879648952309
CBaya,C,BRR,CBaya.C,0.0467706133615526
CBaya,C,BRR,CBaya.C,0.0400063233144999
CBaya,C,BRR,CBaya.C,0.0486273155851732
CBaya,C,BRR,CBaya.C,0.0464647912304327
CBaya,C,BRR,CBaya.C,0.0514715543965102
CBaya,C,BRR,CBaya.C,0.046939588798882
CBaya,C,BRR,CBaya.C,0.0457524897813507
CBaya,C,BRR,CBaya.C,0.0571967429607687
CBaya,C,BRR,CBaya.C,0.0637504859752257
CBaya,C,BRR,CBaya.C,0.0525049154398446
CBaya,C,BRR,CBaya.C,0.0477786528778419
CBaya,C,BRR,CBaya.C,0.0583713892663366
CBaya,C,BRR,CBaya.C,0.0599240504919669
CBaya,C,BRR,CBaya.C,0.0495883827683685
CBaya,C,BRR,CBaya.C,0.0506033664525233
CBaya,C,BRR,CBaya.C,0.061860897449521
CBaya,C,BRR,CBaya.C,0.0610608500388972
CBaya,C,BRR,CBaya.C,0.0575543830208844
CBaya,C,BRR,CBaya.C,0.0449917326651054
CBaya,C,BRR,CBaya.C,0.0378124281162582
CBaya,C,BRR,CBaya.C,0.04853586864334
CBaya,C,BRR,CBaya.C,0.0520691248200992
CBaya,C,BRR,CBaya.C,0.0557872558010104
CBaya,C,BRR,CBaya.C,0.0523842859485295
CBaya,C,BRR,CBaya.C,0.0368442300099144
CBaya,C,BRR,CBaya.C,0.0349099969042514
CBaya,C,BRR,CBaya.C,0.0415490367300974
CBaya,C,BRR,CBaya.C,0.0476463132243126
CBaya,C,BRR,CBaya.C,0.033709277163463
CBaya,C,BRR,CBaya.C,0.0457637880723805
CBaya,C,BRR,CBaya.C,0.0411784127520956
CBaya,C,BRR,CBaya.C,0.0471175288626448
CBaya,C,BRR,CBaya.C,0.0584918513675841
CBaya,C,BRR,CBaya.C,0.049255616903471
CBaya,C,BRR,CBaya.C,0.056674936220465
CBaya,C,BRR,CBaya.C,0.0392931648766167
CBaya,C,BRR,CBaya.C,0.034427056197488
CBaya,C,BRR,CBaya.C,0.0458410683278308
CBaya,C,BRR,CBaya.C,0.0492484471134559
CBaya,C,BRR,CBaya.C,0.0490647331556675
CBaya,C,BRR,CBaya.C,0.0343160524114233
CBaya,C,BRR,CBaya.C,0.0261595481940794
CBaya,C,BRR,CBaya.C,0.0325953093017561
CBaya,C,BRR,CBaya.C,0.0273346301655703
CBaya,C,BRR,CBaya.C,0.0347638611389356
CBaya,C,BRR,CBaya.C,0.0340408981999907
CBaya,C,BRR,CBaya.C,0.0224498231922019
CBaya,C,BRR,CBaya.C,0.0231551782497425
CBaya,C,BRR,CBaya.C,0.0196274049212658
CBaya,C,BRR,CBaya.C,0.0288138635136879
CBaya,C,BRR,CBaya.C,0.0329183110280644
CBaya,C,BRR,CBaya.C,0.0286042171335248
CBaya,C,BRR,CBaya.C,0.0297950562156752
CBaya,C,BRR,CBaya.C,0.0308506883939234
CBaya,C,BRR,CBaya.C,0.0275803963804793
CBaya,C,BRR,CBaya.C,0.0292730242352938
CBaya,C,BRR,CBaya.C,0.0222219574192817
CBaya,C,BRR,CBaya.C,0.0231025290810736
CBaya,C,BRR,CBaya.C,0.0207635309389334
CBaya,C,BRR,CBaya.C,0.0221835932519576
CBaya,C,BRR,CBaya.C,0.0239892862581114
CBaya,C,BRR,CBaya.C,0.0254363680326226
CBaya,C,BRR,CBaya.C,0.0264682754708601
CBaya,C,BRR,CBaya.C,0.032740230621436
CBaya,C,BRR,CBaya.C,0.033710493072591
CBaya,C,BRR,CBaya.C,0.0300726587635794
CBaya,C,BRR,CBaya.C,0.0287030908475426
CBaya,C,BRR,CBaya.C,0.0331286737403099
CBaya,C,BRR,CBaya.C,0.0238208897198831
CBaya,C,BRR,CBaya.C,0.03223057761127
CBaya,C,BRR,CBaya.C,0.0294982856863976
CBaya,C,BRR,CBaya.C,0.0319533278491272
CBaya,C,BRR,CBaya.C,0.0460809745140695
CBaya,C,BRR,CBaya.C,0.036758245670387
CBaya,C,BRR,CBaya.C,0.0316936293232212
CBaya,C,BRR,CBaya.C,0.0388920624065354
CBaya,C,BRR,CBaya.C,0.0312551709917833
CBaya,C,BRR,CBaya.C,0.0331490544506315
CBaya,C,BRR,CBaya.C,0.0326294309355329
CBaya,C,BRR,CBaya.C,0.0302411783005956
CBaya,C,BRR,CBaya.C,0.0280791097576065
CBaya,C,BRR,CBaya.C,0.0261674988954988
CBaya,C,BRR,CBaya.C,0.028961509746643
CBaya,C,BRR,CBaya.C,0.0321177378043638
CBaya,C,BRR,CBaya.C,0.0328688052548224
CBaya,C,BRR,CBaya.C,0.0350915478823112
CBaya,C,BRR,CBaya.C,0.0353724601656057
CBaya,C,BRR,CBaya.C,0.0267724236029208
CBaya,C,BRR,CBaya.C,0.028966811647152
CBaya,C,BRR,CBaya.C,0.0348512675587421
CBaya,C,BRR,CBaya.C,0.0331757102079953
CBaya,C,BRR,CBaya.C,0.0346729208956582
CBaya,C,BRR,CBaya.C,0.0338081644776014
CBaya,C,BRR,CBaya.C,0.0285565437876444
CBaya,C,BRR,CBaya.C,0.0238366310092015
CBaya,C,BRR,CBaya.C,0.0262107185522662
CBaya,C,BRR,CBaya.C,0.0228414874124617
CBaya,C,BRR,CBaya.C,0.0248448502054715
CBaya,C,BRR,CBaya.C,0.0260655334431356
CBaya,C,BRR,CBaya.C,0.0228386843010263
CBaya,C,BRR,CBaya.C,0.0219170360158345
CBaya,C,BRR,CBaya.C,0.021752938494383
CBaya,C,BRR,CBaya.C,0.022635791629941
CBaya,C,BRR,CBaya.C,0.0223477417819866
CBaya,C,BRR,CBaya.C,0.0221400066434092
CBaya,C,BRR,CBaya.C,0.0260180706045429
CBaya,C,BRR,CBaya.C,0.0302294538242023
CBaya,C,BRR,CBaya.C,0.021371461814731
CBaya,C,BRR,CBaya.C,0.0208174183562338
CBaya,C,BRR,CBaya.C,0.02346119308747
CBaya,C,BRR,CBaya.C,0.0208810426110018
CBaya,C,BRR,CBaya.C,0.02220737303407
CBaya,C,BRR,CBaya.C,0.0184287075942814
CBaya,C,BRR,CBaya.C,0.0152617944879592
CBaya,C,BRR,CBaya.C,0.0161892916400912
CBaya,C,BRR,CBaya.C,0.0170911888644926
CBaya,C,BRR,CBaya.C,0.0148969195934664
CBaya,C,BRR,CBaya.C,0.0148465197076657
CBaya,C,BRR,CBaya.C,0.0191646051599102
CBaya,C,BRR,CBaya.C,0.0130604189137462
CBaya,C,BRR,CBaya.C,0.0141938235135918
CBaya,C,BRR,CBaya.C,0.0118390349360536
CBaya,C,BRR,CBaya.C,0.0144947232575875
CBaya,C,BRR,CBaya.C,0.0154143552004686
CBaya,C,BRR,CBaya.C,0.0182338781563888
CBaya,C,BRR,CBaya.C,0.0198880228266964
CBaya,C,BRR,CBaya.C,0.0171834457716086
CBaya,C,BRR,CBaya.C,0.0163803094549041
CBaya,C,BRR,CBaya.C,0.0140097065545895
CBaya,C,BRR,CBaya.C,0.0186991800470208
CBaya,C,BRR,CBaya.C,0.0182925775520668
CBaya,C,BRR,CBaya.C,0.0182728910212693
CBaya,C,BRR,CBaya.C,0.0202316148383356
CBaya,C,BRR,CBaya.C,0.0181181186962769
CBaya,C,BRR,CBaya.C,0.0196195554074757
CBaya,C,BRR,CBaya.C,0.0174610321953958
CBaya,C,BRR,CBaya.C,0.0147740182110028
CBaya,C,BRR,CBaya.C,0.0169662901154932
CBaya,C,BRR,CBaya.C,0.0195425053273332
CBaya,C,BRR,CBaya.C,0.0199068529262771
CBaya,C,BRR,CBaya.C,0.0227845286522705
CBaya,C,BRR,CBaya.C,0.0229071987798622
CBaya,C,BRR,CBaya.C,0.0332962896861325
CBaya,C,BRR,CBaya.C,0.031146977859566
CBaya,C,BRR,CBaya.C,0.024587671184795
CBaya,C,BRR,CBaya.C,0.0236822091997195
CBaya,C,BRR,CBaya.C,0.0258895586792855
CBaya,C,BRR,CBaya.C,0.023993907227357
CBaya,C,BRR,CBaya.C,0.0294281772129275
CBaya,C,BRR,CBaya.C,0.0286668555701317
CBaya,C,BRR,CBaya.C,0.0242881153298348
CBaya,C,BRR,CBaya.C,0.0347065689278168
CBaya,C,BRR,CBaya.C,0.0410777531957007
CBaya,C,BRR,CBaya.C,0.0403039782242429
CBaya,C,BRR,CBaya.C,0.0327728971671634
CBaya,C,BRR,CBaya.C,0.032858348097249
CBaya,C,BRR,CBaya.C,0.0280254545041114
CBaya,C,BRR,CBaya.C,0.0289077712800349
CBaya,C,BRR,CBaya.C,0.0303190389773371
CBaya,C,BRR,CBaya.C,0.0266297292886119
CBaya,C,BRR,CBaya.C,0.0287666077945375
CBaya,C,BRR,CBaya.C,0.0344172806467149
CBaya,C,BRR,CBaya.C,0.0305206762905357
CBaya,C,BRR,CBaya.C,0.0333911744080552
CBaya,C,BRR,CBaya.C,0.0332578475228025
CBaya,C,BRR,CBaya.C,0.0330040109127353
CBaya,C,BRR,CBaya.C,0.0429386105634666
CBaya,C,BRR,CBaya.C,0.0401840408569401
CBaya,C,BRR,CBaya.C,0.0398617335885812
CBaya,C,BRR,CBaya.C,0.0430514314113142
CBaya,C,BRR,CBaya.C,0.0527520843063541
CBaya,C,BRR,CBaya.C,0.0483234211443818
CBaya,C,BRR,CBaya.C,0.0492017496765815
CBaya,C,BRR,CBaya.C,0.0397609453915827
CBaya,C,BRR,CBaya.C,0.0401501072550907
CBaya,C,BRR,CBaya.C,0.0341240194096259
CBaya,C,BRR,CBaya.C,0.0334681672266809
CBaya,C,BRR,CBaya.C,0.0310591523341283
CBaya,C,BRR,CBaya.C,0.0333380523434465
CBaya,C,BRR,CBaya.C,0.0383703599198932
CBaya,C,BRR,CBaya.C,0.0376200008712416
CBaya,C,BRR,CBaya.C,0.0378983930271312
CBaya,C,BRR,CBaya.C,0.0332576995285608
CBaya,C,BRR,CBaya.C,0.0303891701539169
CBaya,C,BRR,CBaya.C,0.0300803861251594
CBaya,C,BRR,CBaya.C,0.0327133352697314
CBaya,C,BRR,CBaya.C,0.0240217804602587
CBaya,C,BRR,CBaya.C,0.0284245925755515
CBaya,C,BRR,CBaya.C,0.0280539667653761
CBaya,C,BRR,CBaya.C,0.0335248419415424
CBaya,C,BRR,CBaya.C,0.0359985528350601
CBaya,C,BRR,CBaya.C,0.0317720998761256
CBaya,C,BRR,CBaya.C,0.0328141784475049
CBaya,C,BRR,CBaya.C,0.034826355768285
CBaya,C,BRR,CBaya.C,0.0314269850405703
CBaya,C,BRR,CBaya.C,0.032763210409623
CBaya,C,BRR,CBaya.C,0.0354671429577946
CBaya,C,BRR,CBaya.C,0.0297910166196317
