Prefijo,Componentes_CHL,Modelos,Fenotipos,Heredabilidad
CPBrote,C,BRR,CPBrote.C,0.126885356899809
CPBrote,C,BRR,CPBrote.C,0.103494042717049
CPBrote,C,BRR,CPBrote.C,0.108531377604507
CPBrote,C,BRR,CPBrote.C,0.0862998297146881
CPBrote,C,BRR,CPBrote.C,0.0791072489426975
CPBrote,C,BRR,CPBrote.C,0.0710432592885704
CPBrote,C,BRR,CPBrote.C,0.0706481985024932
CPBrote,C,BRR,CPBrote.C,0.0612590049655393
CPBrote,C,BRR,CPBrote.C,0.0696653040392092
CPBrote,C,BRR,CPBrote.C,0.0731981110450201
CPBrote,C,BRR,CPBrote.C,0.0706867147400778
CPBrote,C,BRR,CPBrote.C,0.0838789055315868
CPBrote,C,BRR,CPBrote.C,0.0774504440324265
CPBrote,C,BRR,CPBrote.C,0.0683560792215143
CPBrote,C,BRR,CPBrote.C,0.0756871088163005
CPBrote,C,BRR,CPBrote.C,0.0954413029423293
CPBrote,C,BRR,CPBrote.C,0.0869510146585849
CPBrote,C,BRR,CPBrote.C,0.0872345271952378
CPBrote,C,BRR,CPBrote.C,0.0956211542652199
CPBrote,C,BRR,CPBrote.C,0.107093939973886
CPBrote,C,BRR,CPBrote.C,0.102078604675055
CPBrote,C,BRR,CPBrote.C,0.0777333287612252
CPBrote,C,BRR,CPBrote.C,0.0861408577885462
CPBrote,C,BRR,CPBrote.C,0.0902667241635195
CPBrote,C,BRR,CPBrote.C,0.115051263795505
CPBrote,C,BRR,CPBrote.C,0.0938978400639353
CPBrote,C,BRR,CPBrote.C,0.0910655687144945
CPBrote,C,BRR,CPBrote.C,0.13629985441055
CPBrote,C,BRR,CPBrote.C,0.114682578924195
CPBrote,C,BRR,CPBrote.C,0.0959232153748392
CPBrote,C,BRR,CPBrote.C,0.0936581145686596
CPBrote,C,BRR,CPBrote.C,0.11131940917773
CPBrote,C,BRR,CPBrote.C,0.121644481717009
CPBrote,C,BRR,CPBrote.C,0.120426689854679
CPBrote,C,BRR,CPBrote.C,0.103901208460698
CPBrote,C,BRR,CPBrote.C,0.105207544296079
CPBrote,C,BRR,CPBrote.C,0.0957606868714425
CPBrote,C,BRR,CPBrote.C,0.112421861454782
CPBrote,C,BRR,CPBrote.C,0.103510198501851
CPBrote,C,BRR,CPBrote.C,0.128959775441795
CPBrote,C,BRR,CPBrote.C,0.104036745113039
CPBrote,C,BRR,CPBrote.C,0.101308924022006
CPBrote,C,BRR,CPBrote.C,0.109770794243305
CPBrote,C,BRR,CPBrote.C,0.133179338969343
CPBrote,C,BRR,CPBrote.C,0.152783110090464
CPBrote,C,BRR,CPBrote.C,0.161259072536024
CPBrote,C,BRR,CPBrote.C,0.171024997474962
CPBrote,C,BRR,CPBrote.C,0.153332882762264
CPBrote,C,BRR,CPBrote.C,0.158132350542802
CPBrote,C,BRR,CPBrote.C,0.136524649853391
CPBrote,C,BRR,CPBrote.C,0.124517561822042
