Prefijo,CHL_Components,Modelos,Fenotipos,Heritability
PCSprout,C,BRR,PCSprout.C,0.126885356899809
PCSprout,C,BRR,PCSprout.C,0.103494042717049
PCSprout,C,BRR,PCSprout.C,0.108531377604507
PCSprout,C,BRR,PCSprout.C,0.0862998297146881
PCSprout,C,BRR,PCSprout.C,0.0791072489426975
PCSprout,C,BRR,PCSprout.C,0.0710432592885704
PCSprout,C,BRR,PCSprout.C,0.0706481985024932
PCSprout,C,BRR,PCSprout.C,0.0612590049655393
PCSprout,C,BRR,PCSprout.C,0.0696653040392092
PCSprout,C,BRR,PCSprout.C,0.0731981110450201
PCSprout,C,BRR,PCSprout.C,0.0706867147400778
PCSprout,C,BRR,PCSprout.C,0.0838789055315868
PCSprout,C,BRR,PCSprout.C,0.0774504440324265
PCSprout,C,BRR,PCSprout.C,0.0683560792215143
PCSprout,C,BRR,PCSprout.C,0.0756871088163005
PCSprout,C,BRR,PCSprout.C,0.0954413029423293
PCSprout,C,BRR,PCSprout.C,0.0869510146585849
PCSprout,C,BRR,PCSprout.C,0.0872345271952378
PCSprout,C,BRR,PCSprout.C,0.0956211542652199
PCSprout,C,BRR,PCSprout.C,0.107093939973886
PCSprout,C,BRR,PCSprout.C,0.102078604675055
PCSprout,C,BRR,PCSprout.C,0.0777333287612252
PCSprout,C,BRR,PCSprout.C,0.0861408577885462
PCSprout,C,BRR,PCSprout.C,0.0902667241635195
PCSprout,C,BRR,PCSprout.C,0.115051263795505
PCSprout,C,BRR,PCSprout.C,0.0938978400639353
PCSprout,C,BRR,PCSprout.C,0.0910655687144945
PCSprout,C,BRR,PCSprout.C,0.13629985441055
PCSprout,C,BRR,PCSprout.C,0.114682578924195
PCSprout,C,BRR,PCSprout.C,0.0959232153748392
PCSprout,C,BRR,PCSprout.C,0.0936581145686596
PCSprout,C,BRR,PCSprout.C,0.11131940917773
PCSprout,C,BRR,PCSprout.C,0.121644481717009
PCSprout,C,BRR,PCSprout.C,0.120426689854679
PCSprout,C,BRR,PCSprout.C,0.103901208460698
PCSprout,C,BRR,PCSprout.C,0.105207544296079
PCSprout,C,BRR,PCSprout.C,0.0957606868714425
PCSprout,C,BRR,PCSprout.C,0.112421861454782
PCSprout,C,BRR,PCSprout.C,0.103510198501851
PCSprout,C,BRR,PCSprout.C,0.128959775441795
PCSprout,C,BRR,PCSprout.C,0.104036745113039
PCSprout,C,BRR,PCSprout.C,0.101308924022006
PCSprout,C,BRR,PCSprout.C,0.109770794243305
PCSprout,C,BRR,PCSprout.C,0.133179338969343
PCSprout,C,BRR,PCSprout.C,0.152783110090464
PCSprout,C,BRR,PCSprout.C,0.161259072536024
PCSprout,C,BRR,PCSprout.C,0.171024997474962
PCSprout,C,BRR,PCSprout.C,0.153332882762264
PCSprout,C,BRR,PCSprout.C,0.158132350542802
PCSprout,C,BRR,PCSprout.C,0.136524649853391
PCSprout,C,BRR,PCSprout.C,0.124517561822042
PCSprout,C,BRR,PCSprout.C,0.121418805749148
PCSprout,C,BRR,PCSprout.C,0.102229896476312
PCSprout,C,BRR,PCSprout.C,0.114091187764893
PCSprout,C,BRR,PCSprout.C,0.112295705268477
PCSprout,C,BRR,PCSprout.C,0.1396870910224
PCSprout,C,BRR,PCSprout.C,0.137538193604095
PCSprout,C,BRR,PCSprout.C,0.134631065056638
PCSprout,C,BRR,PCSprout.C,0.144096618756138
PCSprout,C,BRR,PCSprout.C,0.15253607494056
PCSprout,C,BRR,PCSprout.C,0.14111939485499
PCSprout,C,BRR,PCSprout.C,0.148796772252507
PCSprout,C,BRR,PCSprout.C,0.16443596247717
PCSprout,C,BRR,PCSprout.C,0.197614556707008
PCSprout,C,BRR,PCSprout.C,0.165253539989791
PCSprout,C,BRR,PCSprout.C,0.171497782677255
PCSprout,C,BRR,PCSprout.C,0.146545143574283
PCSprout,C,BRR,PCSprout.C,0.129088602756751
PCSprout,C,BRR,PCSprout.C,0.154632613224517
PCSprout,C,BRR,PCSprout.C,0.143006009964855
PCSprout,C,BRR,PCSprout.C,0.136492153479569
PCSprout,C,BRR,PCSprout.C,0.177177433101212
PCSprout,C,BRR,PCSprout.C,0.146391293811502
PCSprout,C,BRR,PCSprout.C,0.161426219097888
PCSprout,C,BRR,PCSprout.C,0.161050136184104
PCSprout,C,BRR,PCSprout.C,0.158054053132926
PCSprout,C,BRR,PCSprout.C,0.167943999375974
PCSprout,C,BRR,PCSprout.C,0.135043239955508
PCSprout,C,BRR,PCSprout.C,0.107138430459126
PCSprout,C,BRR,PCSprout.C,0.130116857933556
PCSprout,C,BRR,PCSprout.C,0.120469066704785
PCSprout,C,BRR,PCSprout.C,0.14206148592809
PCSprout,C,BRR,PCSprout.C,0.137005434859511
PCSprout,C,BRR,PCSprout.C,0.0908944295539111
PCSprout,C,BRR,PCSprout.C,0.0898083535855803
PCSprout,C,BRR,PCSprout.C,0.089714864631325
PCSprout,C,BRR,PCSprout.C,0.0928234245874525
PCSprout,C,BRR,PCSprout.C,0.0851850758302653
PCSprout,C,BRR,PCSprout.C,0.0706290541968186
PCSprout,C,BRR,PCSprout.C,0.0780853965475236
PCSprout,C,BRR,PCSprout.C,0.0880281073568018
PCSprout,C,BRR,PCSprout.C,0.0751470868485097
PCSprout,C,BRR,PCSprout.C,0.0836510018546555
