Prefijo,CHL_Components,Modelos,Fenotipos,Heritability
PCSprout,C,RKHS,PCSprout.C,0.66146949426522
PCSprout,C,RKHS,PCSprout.C,0.57637437121468
PCSprout,C,RKHS,PCSprout.C,0.577665040150864
PCSprout,C,RKHS,PCSprout.C,0.611294122708988
PCSprout,C,RKHS,PCSprout.C,0.625636470460812
PCSprout,C,RKHS,PCSprout.C,0.598389124931449
PCSprout,C,RKHS,PCSprout.C,0.594868993732951
PCSprout,C,RKHS,PCSprout.C,0.577483431158978
PCSprout,C,RKHS,PCSprout.C,0.499610462376704
PCSprout,C,RKHS,PCSprout.C,0.535046715479564
PCSprout,C,RKHS,PCSprout.C,0.56810784520595
PCSprout,C,RKHS,PCSprout.C,0.577138016635881
PCSprout,C,RKHS,PCSprout.C,0.62608761629403
PCSprout,C,RKHS,PCSprout.C,0.555115787775352
PCSprout,C,RKHS,PCSprout.C,0.541487383449501
PCSprout,C,RKHS,PCSprout.C,0.576883920800923
PCSprout,C,RKHS,PCSprout.C,0.511021813695093
PCSprout,C,RKHS,PCSprout.C,0.567313399020621
PCSprout,C,RKHS,PCSprout.C,0.573738198111075
PCSprout,C,RKHS,PCSprout.C,0.605588818358397
PCSprout,C,RKHS,PCSprout.C,0.565848174636194
PCSprout,C,RKHS,PCSprout.C,0.479095648519376
PCSprout,C,RKHS,PCSprout.C,0.498931773614542
PCSprout,C,RKHS,PCSprout.C,0.43503899185218
PCSprout,C,RKHS,PCSprout.C,0.622705184398164
PCSprout,C,RKHS,PCSprout.C,0.521770673841822
PCSprout,C,RKHS,PCSprout.C,0.584986635243183
PCSprout,C,RKHS,PCSprout.C,0.538242666751398
PCSprout,C,RKHS,PCSprout.C,0.545854821307503
PCSprout,C,RKHS,PCSprout.C,0.488823438197138
PCSprout,C,RKHS,PCSprout.C,0.537170708024735
PCSprout,C,RKHS,PCSprout.C,0.629295458564284
PCSprout,C,RKHS,PCSprout.C,0.636504467388483
PCSprout,C,RKHS,PCSprout.C,0.573558973906214
PCSprout,C,RKHS,PCSprout.C,0.601729783956146
PCSprout,C,RKHS,PCSprout.C,0.647154680996014
PCSprout,C,RKHS,PCSprout.C,0.570898178067541
PCSprout,C,RKHS,PCSprout.C,0.575034413103858
PCSprout,C,RKHS,PCSprout.C,0.558492298006722
PCSprout,C,RKHS,PCSprout.C,0.56781419208502
PCSprout,C,RKHS,PCSprout.C,0.519193309545583
PCSprout,C,RKHS,PCSprout.C,0.537609349663971
PCSprout,C,RKHS,PCSprout.C,0.502242733426278
PCSprout,C,RKHS,PCSprout.C,0.545057978743604
PCSprout,C,RKHS,PCSprout.C,0.591374550463792
PCSprout,C,RKHS,PCSprout.C,0.470156673544058
PCSprout,C,RKHS,PCSprout.C,0.547660174199091
PCSprout,C,RKHS,PCSprout.C,0.558409770089143
PCSprout,C,RKHS,PCSprout.C,0.4947726648752
PCSprout,C,RKHS,PCSprout.C,0.603604622096764
PCSprout,C,RKHS,PCSprout.C,0.616735932645994
PCSprout,C,RKHS,PCSprout.C,0.466715650791688
PCSprout,C,RKHS,PCSprout.C,0.501500425026167
PCSprout,C,RKHS,PCSprout.C,0.468218681296976
PCSprout,C,RKHS,PCSprout.C,0.530818904000291
PCSprout,C,RKHS,PCSprout.C,0.517943510554559
PCSprout,C,RKHS,PCSprout.C,0.528485108949839
PCSprout,C,RKHS,PCSprout.C,0.57164963324592
PCSprout,C,RKHS,PCSprout.C,0.47058847736061
PCSprout,C,RKHS,PCSprout.C,0.603719832142103
PCSprout,C,RKHS,PCSprout.C,0.620261227803266
PCSprout,C,RKHS,PCSprout.C,0.707998254387773
PCSprout,C,RKHS,PCSprout.C,0.593329897492982
PCSprout,C,RKHS,PCSprout.C,0.511468152518893
