Prefijo,Componentes_CHL,Modelos,Fenotipos,Heredabilidad
CPBrote,C,RKHS,CPBrote.C,0.604383890091319
CPBrote,C,RKHS,CPBrote.C,0.558720940101408
CPBrote,C,RKHS,CPBrote.C,0.614092067312862
CPBrote,C,RKHS,CPBrote.C,0.575877789324278
CPBrote,C,RKHS,CPBrote.C,0.558116067885477
CPBrote,C,RKHS,CPBrote.C,0.562374025772714
CPBrote,C,RKHS,CPBrote.C,0.579079965759716
CPBrote,C,RKHS,CPBrote.C,0.5223289143806
CPBrote,C,RKHS,CPBrote.C,0.653811795815325
CPBrote,C,RKHS,CPBrote.C,0.525229323968629
CPBrote,C,RKHS,CPBrote.C,0.580026577470179
CPBrote,C,RKHS,CPBrote.C,0.608083703963458
CPBrote,C,RKHS,CPBrote.C,0.595181895204801
CPBrote,C,RKHS,CPBrote.C,0.66146949426522
CPBrote,C,RKHS,CPBrote.C,0.57637437121468
CPBrote,C,RKHS,CPBrote.C,0.577665040150864
CPBrote,C,RKHS,CPBrote.C,0.611294122708988
CPBrote,C,RKHS,CPBrote.C,0.625636470460812
CPBrote,C,RKHS,CPBrote.C,0.598389124931449
CPBrote,C,RKHS,CPBrote.C,0.594868993732951
CPBrote,C,RKHS,CPBrote.C,0.577483431158978
CPBrote,C,RKHS,CPBrote.C,0.499610462376704
CPBrote,C,RKHS,CPBrote.C,0.535046715479564
CPBrote,C,RKHS,CPBrote.C,0.56810784520595
CPBrote,C,RKHS,CPBrote.C,0.577138016635881
CPBrote,C,RKHS,CPBrote.C,0.62608761629403
CPBrote,C,RKHS,CPBrote.C,0.555115787775352
CPBrote,C,RKHS,CPBrote.C,0.541487383449501
CPBrote,C,RKHS,CPBrote.C,0.576883920800923
CPBrote,C,RKHS,CPBrote.C,0.511021813695093
CPBrote,C,RKHS,CPBrote.C,0.567313399020621
CPBrote,C,RKHS,CPBrote.C,0.573738198111075
CPBrote,C,RKHS,CPBrote.C,0.605588818358397
CPBrote,C,RKHS,CPBrote.C,0.565848174636194
CPBrote,C,RKHS,CPBrote.C,0.479095648519376
CPBrote,C,RKHS,CPBrote.C,0.498931773614542
CPBrote,C,RKHS,CPBrote.C,0.43503899185218
CPBrote,C,RKHS,CPBrote.C,0.622705184398164
CPBrote,C,RKHS,CPBrote.C,0.521770673841822
CPBrote,C,RKHS,CPBrote.C,0.584986635243183
CPBrote,C,RKHS,CPBrote.C,0.538242666751398
CPBrote,C,RKHS,CPBrote.C,0.545854821307503
CPBrote,C,RKHS,CPBrote.C,0.488823438197138
CPBrote,C,RKHS,CPBrote.C,0.537170708024735
CPBrote,C,RKHS,CPBrote.C,0.629295458564284
CPBrote,C,RKHS,CPBrote.C,0.636504467388483
CPBrote,C,RKHS,CPBrote.C,0.573558973906214
CPBrote,C,RKHS,CPBrote.C,0.601729783956146
CPBrote,C,RKHS,CPBrote.C,0.647154680996014
CPBrote,C,RKHS,CPBrote.C,0.570898178067541
CPBrote,C,RKHS,CPBrote.C,0.575034413103858
CPBrote,C,RKHS,CPBrote.C,0.558492298006722
CPBrote,C,RKHS,CPBrote.C,0.56781419208502
CPBrote,C,RKHS,CPBrote.C,0.519193309545583
CPBrote,C,RKHS,CPBrote.C,0.537609349663971
CPBrote,C,RKHS,CPBrote.C,0.502242733426278
CPBrote,C,RKHS,CPBrote.C,0.545057978743604
CPBrote,C,RKHS,CPBrote.C,0.591374550463792
CPBrote,C,RKHS,CPBrote.C,0.470156673544058
CPBrote,C,RKHS,CPBrote.C,0.547660174199091
CPBrote,C,RKHS,CPBrote.C,0.558409770089143
CPBrote,C,RKHS,CPBrote.C,0.4947726648752
CPBrote,C,RKHS,CPBrote.C,0.603604622096764
CPBrote,C,RKHS,CPBrote.C,0.616735932645994
CPBrote,C,RKHS,CPBrote.C,0.466715650791688
CPBrote,C,RKHS,CPBrote.C,0.501500425026167
CPBrote,C,RKHS,CPBrote.C,0.468218681296976
CPBrote,C,RKHS,CPBrote.C,0.530818904000291
CPBrote,C,RKHS,CPBrote.C,0.517943510554559
CPBrote,C,RKHS,CPBrote.C,0.528485108949839
CPBrote,C,RKHS,CPBrote.C,0.57164963324592
CPBrote,C,RKHS,CPBrote.C,0.47058847736061
CPBrote,C,RKHS,CPBrote.C,0.603719832142103
CPBrote,C,RKHS,CPBrote.C,0.620261227803266
CPBrote,C,RKHS,CPBrote.C,0.707998254387773
CPBrote,C,RKHS,CPBrote.C,0.593329897492982
CPBrote,C,RKHS,CPBrote.C,0.511468152518893
CPBrote,C,RKHS,CPBrote.C,0.62117920731237
CPBrote,C,RKHS,CPBrote.C,0.612963326491542
CPBrote,C,RKHS,CPBrote.C,0.495584005812204
CPBrote,C,RKHS,CPBrote.C,0.633324914099992
CPBrote,C,RKHS,CPBrote.C,0.552286398212325
CPBrote,C,RKHS,CPBrote.C,0.517777734730294
CPBrote,C,RKHS,CPBrote.C,0.519570388966165
CPBrote,C,RKHS,CPBrote.C,0.567693660863997
CPBrote,C,RKHS,CPBrote.C,0.616260488016275
CPBrote,C,RKHS,CPBrote.C,0.642768841913432
CPBrote,C,RKHS,CPBrote.C,0.564881515212287
CPBrote,C,RKHS,CPBrote.C,0.540338072517988
CPBrote,C,RKHS,CPBrote.C,0.544501324834021
CPBrote,C,RKHS,CPBrote.C,0.487895800041089
CPBrote,C,RKHS,CPBrote.C,0.618041115544677
CPBrote,C,RKHS,CPBrote.C,0.621284413429716
CPBrote,C,RKHS,CPBrote.C,0.583397827843922
CPBrote,C,RKHS,CPBrote.C,0.605594025726615
CPBrote,C,RKHS,CPBrote.C,0.585354139860558
CPBrote,C,RKHS,CPBrote.C,0.432711457600806
CPBrote,C,RKHS,CPBrote.C,0.522709398674635
CPBrote,C,RKHS,CPBrote.C,0.510714103569738
CPBrote,C,RKHS,CPBrote.C,0.60832576522393
CPBrote,C,RKHS,CPBrote.C,0.627391581748119
CPBrote,C,RKHS,CPBrote.C,0.535918659975233
CPBrote,C,RKHS,CPBrote.C,0.564085667084462
