"trait","mean","median","ci2.5","ci97.5","n_samp","model"
"CTallo.L",0.624036808110918,0.625785323254192,0.529454298889262,0.707508900798714,1200,"RKHS"
"CTallo.C",0.567723918105344,0.569886441193387,0.465849298469094,0.657046832833354,1200,"RKHS"
"CTallo.H",0.312823441573332,0.308159510273209,0.214966696627665,0.424476040334015,1200,"RKHS"
"CPFlor.L",0.541721971149832,0.543294733716698,0.438507627914404,0.6382455817274,1200,"RKHS"
"CPFlor.C",0.561627334402344,0.560880766372312,0.463331059102477,0.655744300910707,1200,"RKHS"
"CPFlor.H",0.843873066974869,0.844948603322453,0.799003599609843,0.8795474304334,1200,"RKHS"
"CBaya.L",0.181559077103702,0.178632714715976,0.11629746894373,0.26411451886374,1200,"RKHS"
"CBaya.C",0.164284596585198,0.16108774446906,0.107217201237908,0.238652605154914,1200,"RKHS"
"CBaya.H",0.165709687019324,0.160767476442659,0.105717110622492,0.2509337024182,1200,"RKHS"
"CPTuber.L",0.48549384298848,0.488941936060108,0.364894405381844,0.595370049151381,1200,"RKHS"
"CPTuber.C",0.484608584257674,0.48510158332368,0.381963069429697,0.583501765914966,1200,"RKHS"
"CPTuber.H",0.359115355810751,0.356593287811016,0.251032650793596,0.479089853563643,1200,"RKHS"
"CSTuber.L",0.475080182115668,0.475166675968796,0.351191279347846,0.595302761321652,1200,"RKHS"
"CSTuber.C",0.263473570092541,0.260439370044101,0.169589010005799,0.384311262489327,1200,"RKHS"
"CSTuber.H",0.363365391625639,0.361873349323165,0.215596315793223,0.530850948101435,1200,"RKHS"
"CPulpa.L",0.385648468074193,0.385768855155856,0.278529944076859,0.501247782063247,1200,"RKHS"
"CPulpa.C",0.406806079308349,0.406621032787204,0.305308982187608,0.513277092966572,1200,"RKHS"
"CPulpa.H",0.261976980153238,0.258669664027226,0.180015542764898,0.365985456844306,1200,"RKHS"
"CSPulpa.L",0.440284926823331,0.438836613635319,0.264002396083491,0.628322883294219,1200,"RKHS"
"CSPulpa.C",0.5433880270055,0.543526362987498,0.314670624249105,0.762877620857807,1200,"RKHS"
"CSPulpa.H",0.95234397673424,0.953991895102371,0.926468595003387,0.972176551900665,1200,"RKHS"
"CPBrote.L",0.337249785634649,0.335701905453067,0.242191941048032,0.440735246059683,1200,"RKHS"
"CPBrote.C",0.559231922620319,0.559541640920563,0.459053091097477,0.655520627991065,1200,"RKHS"
"CPBrote.H",0.225500144455267,0.222369536060074,0.147908470946905,0.324621420035928,1200,"RKHS"
"CSBrote.L",0.199490142640695,0.196345386408546,0.13304093044271,0.283118524117338,1200,"RKHS"
"CSBrote.C",0.214854351736747,0.213126489935942,0.138054226349829,0.301099944994547,1200,"RKHS"
"CSBrote.H",0.219778143741961,0.21599192529486,0.142998425742714,0.313029122685397,1200,"RKHS"
