"Samples","Tallo.LCH.L","Tallo.LCH.C","Tallo.LCH.H","PriFlor.LCH.L","PriFlor.LCH.C","PriFlor.LCH.H"
15061523,28,16,359,43,58,322
15061525,54,44,117,31,33,324
15061529,54,44,117,92,6,71
15061533,54,44,117,26,52,310
15061534,54,44,117,54,49,320
15061535,28,16,359,49,57,317
15061536,28,16,359,36,55,329
15061537,54,44,117,92,6,71
15061539,54,44,117,43,58,322
15061540,54,44,117,43,58,322
15061543,54,44,117,45,57,327
15061544,28,16,359,66,36,324
15061546,28,16,359,45,57,327
15061548,54,44,117,36,55,329
15061549,49,21,132,36,55,329
15061550,28,16,359,67,41,314
15061551,54,44,117,45,57,327
15061553,54,44,117,75,26,302
15061555,42,17,138,65,35,303
15061556,54,44,117,43,58,322
15061557,54,44,117,59,48,315
15061561,54,44,117,43,58,322
15061564,54,44,117,61,43,319
15061566,28,16,359,49,57,317
15061567,54,44,117,63,40,326
15061568,54,44,117,43,58,322
15061571,54,44,117,61,43,319
15061575,49,21,132,41,42,316
15061576,49,21,132,67,41,314
15061578,42,17,138,61,43,319
15061579,28,16,359,43,58,322
15061580,42,17,138,59,40,305
15061584,54,44,117,43,58,322
15061585,49,21,132,66,36,324
15061600,54,44,117,63,40,326
15061601,28,16,359,33,34,316
15061602,54,44,117,66,36,309
15061603,54,44,117,42,39,319
15061605,54,44,117,61,43,319
15061608,54,44,117,56,48,332
15061609,54,44,117,43,58,322
15061610,42,17,138,36,39,321
15061612,28,16,359,43,58,322
15061614,54,44,117,54,49,320
15061619,28,16,359,43,58,322
15061621,54,44,117,39,57,339
15061622,54,44,117,52,45,305
15061623,54,44,117,38,40,308
15061624,54,44,117,38,40,308
15061626,28,16,359,36,39,321
15061628,54,44,117,92,6,71
15061629,28,16,359,61,43,319
15061630,28,16,359,41,58,318
15061632,54,44,117,43,58,322
15061633,28,16,359,49,57,317
15061637,53,38,132,43,58,322
15061638,54,44,117,54,39,308
15061639,49,21,132,61,43,319
15061640,28,16,359,38,40,308
15061641,54,44,117,54,49,320
15061642,54,44,117,54,49,320
15061645,54,44,117,54,49,320
15061646,54,44,117,92,6,71
15061648,53,38,132,43,58,322
15061649,54,44,117,54,39,308
15061650,54,44,117,52,45,305
15061653,54,44,117,52,55,328
15061654,54,44,117,43,58,322
15061655,54,44,117,66,36,309
15061656,53,38,132,66,36,309
15061658,53,38,132,59,48,315
15061659,49,21,132,43,58,322
15061661,54,44,117,67,36,319
15061662,28,16,359,49,42,312
15061666,28,16,359,36,55,329
15061669,54,44,117,52,55,328
15061670,54,44,117,36,55,329
15061671,54,44,117,52,55,328
15061673,28,16,359,54,49,320
15061678,49,21,132,36,55,329
15061680,49,21,132,36,55,329
15061682,49,21,132,59,40,305
15061683,28,16,359,43,58,322
15061684,54,44,117,67,41,314
15061685,49,21,132,54,49,320
15061686,49,21,132,36,55,329
15061687,54,44,117,43,58,322
15061688,54,44,117,43,58,322
15061689,54,44,117,36,55,329
15061690,54,44,117,36,55,329
15061702,49,21,132,63,35,309
15061707,28,16,359,38,40,308
15061709,54,44,117,36,55,329
15061710,28,16,359,45,57,327
15061712,54,44,117,43,58,322
15061713,54,44,117,66,36,309
15061714,28,16,359,41,42,316
15061717,28,16,359,52,45,305
15061718,49,21,132,59,40,305
15061719,54,44,117,92,6,71
15061722,54,44,117,48,40,314
15061723,28,16,359,43,58,322
15061724,28,16,359,43,58,322
15061725,28,16,359,43,58,322
15061726,28,16,359,43,58,322
15061729,28,16,359,52,45,305
15061730,28,16,359,52,45,305
15061733,54,44,117,57,46,323
15061734,28,16,359,36,55,329
15061735,54,44,117,54,49,320
15061736,28,16,359,57,46,323
15061737,28,16,359,43,58,322
15061738,28,16,359,43,58,322
15061740,28,16,359,38,40,308
15061742,54,44,117,45,57,327
15061744,54,44,117,43,40,309
15061747,54,44,117,92,6,71
15061751,62,43,124,58,45,310
15061752,45,19,134,45,57,327
15061753,54,44,117,54,49,320
15061754,54,44,117,58,45,310
15061755,54,44,117,63,31,315
15061757,28,16,359,49,57,317
15061758,54,44,117,33,34,316
15061759,54,44,117,33,58,312
15061760,28,16,359,61,43,319
15061761,54,44,117,92,6,71
15061764,54,44,117,31,33,324
15061765,54,44,117,92,6,71
15061767,54,44,117,65,35,303
15061768,54,44,117,43,58,322
15061769,54,44,117,63,40,326
15061771,28,16,359,43,58,322
15061772,54,44,117,59,40,305
15061773,28,16,359,67,41,314
15061777,28,16,359,43,58,322
15061778,54,44,117,43,58,322
15061784,28,16,359,36,55,329
15061788,54,44,117,43,40,309
15061789,54,44,117,63,40,326
15061795,28,16,359,43,58,322
15061797,28,16,359,54,49,320
15061799,28,16,359,45,57,327
15061800,54,44,117,49,42,312
15061801,54,44,117,75,26,302
15061808,54,44,117,57,46,323
15061813,54,44,117,43,58,322
15061814,28,16,359,43,58,322
15061815,54,44,117,58,45,310
15061826,54,44,117,61,43,319
15061905,58,45,128,41,42,316
15061908,28,16,359,44,53,341
15061909,54,44,117,36,55,329
15061910,54,44,117,36,39,321
15061911,54,44,117,54,49,320
15061915,54,44,117,54,49,320
15061916,54,44,117,36,39,321
15061926,54,44,117,36,55,329
15061928,28,16,359,45,57,327
15061929,54,44,117,42,39,319
15061930,28,16,359,45,57,327
15061932,54,44,117,57,46,323
15061934,28,16,359,43,58,322
15061935,54,44,117,36,55,329
15061939,54,44,117,43,58,322
15061941,54,44,117,54,49,320
15061942,54,44,117,57,46,323
15061945,54,44,117,43,58,322
15061946,28,16,359,48,40,314
15061949,54,44,117,41,42,316
15061951,54,44,117,61,43,319
15061952,28,16,359,36,39,321
15061953,54,44,117,43,58,322
15061957,54,44,117,67,41,314
15061958,54,44,117,67,36,319
15061961,49,21,132,42,39,319
15061962,54,44,117,54,49,320
15061963,54,44,117,43,58,322
15061964,54,44,117,92,6,71
15061967,28,16,359,53,43,320
15061968,54,44,117,48,40,314
15061969,54,44,117,70,31,304
15062036,54,44,117,52,55,328
15062038,54,44,117,43,58,322
15062039,54,44,117,37,43,331
15062050,54,44,117,52,55,328
15062051,54,44,117,36,55,329
15062053,54,44,117,45,57,327
15062063,54,44,117,36,39,321
15062067,54,44,117,45,57,327
15062069,28,16,359,31,33,324
15062071,54,44,117,88,10,96
15062074,54,44,117,70,31,304
15062081,53,38,132,54,39,308
15062092,54,44,117,48,40,314
15062094,54,44,117,41,58,318
15062097,54,44,117,43,58,322
15062099,54,44,117,45,57,327
15062100,54,44,117,59,48,315
15062101,28,16,359,43,40,309
15062102,54,44,117,92,6,71
15062103,54,44,117,36,55,329
15062104,54,44,117,33,58,312
15062105,28,16,359,42,39,319
15062106,28,16,359,36,55,329
15062107,54,44,117,42,39,319
15062108,28,16,359,53,43,320
15062109,54,44,117,43,58,322
15062111,28,16,359,43,58,322
15062112,28,16,359,43,58,322
15062114,28,16,359,43,58,322
15062115,28,16,359,54,49,320
15062117,54,44,117,43,58,322
15062118,54,44,117,59,48,315
15062122,54,24,136,31,33,324
15062123,54,44,117,58,45,310
15062124,45,19,134,92,6,71
15062126,28,16,359,48,40,314
15062130,54,44,117,48,41,320
15062133,49,21,132,43,58,322
15062136,54,44,117,36,55,329
15062137,28,16,359,43,58,322
15062138,28,16,359,43,58,322
15062139,54,44,117,42,39,319
15062143,28,16,359,43,58,312
15062144,28,16,359,54,49,320
15062146,28,16,359,43,40,309
15062149,28,16,359,43,58,322
15062150,28,16,359,43,58,312
15062152,28,16,359,36,55,329
15062153,54,44,117,43,58,322
15062332,54,44,117,44,53,341
15062333,28,16,359,43,58,318
15062337,54,44,117,36,55,329
15062338,54,44,117,36,55,329
15062344,54,44,117,36,55,329
15062346,54,44,117,41,42,316
15062348,54,44,117,54,49,320
15062349,54,44,117,42,39,319
15062350,54,44,117,54,49,320
15062351,28,16,359,41,42,316
15062354,54,44,117,54,49,320
15062356,42,17,138,59,48,315
15062357,28,16,359,43,58,322
15062359,54,44,117,66,36,309
15062362,54,44,117,41,42,316
15062366,54,44,117,53,43,320
15062367,28,16,359,41,58,318
15062368,54,44,117,49,57,317
15062370,54,44,117,43,58,312
15062371,54,44,117,43,58,322
15062372,54,44,117,65,35,303
