Prefijo,Componentes_CHL,Modelos,Fenotipos,Heredabilidad
CBaya,C,BRR,CBaya.C,0.279673624820447
CBaya,C,BRR,CBaya.C,0.309819865647009
CBaya,C,BRR,CBaya.C,0.286143698319423
CBaya,C,BRR,CBaya.C,0.23985779669865
CBaya,C,BRR,CBaya.C,0.231806660148776
CBaya,C,BRR,CBaya.C,0.20524401099964
CBaya,C,BRR,CBaya.C,0.209944819088639
CBaya,C,BRR,CBaya.C,0.183301768570153
CBaya,C,BRR,CBaya.C,0.162885494386982
CBaya,C,BRR,CBaya.C,0.19338449007856
CBaya,C,BRR,CBaya.C,0.181246252224625
CBaya,C,BRR,CBaya.C,0.143436731421269
CBaya,C,BRR,CBaya.C,0.141835839576167
CBaya,C,BRR,CBaya.C,0.149656039326628
CBaya,C,BRR,CBaya.C,0.126364459447635
CBaya,C,BRR,CBaya.C,0.180324275655056
CBaya,C,BRR,CBaya.C,0.185976602700456
CBaya,C,BRR,CBaya.C,0.220180876375304
CBaya,C,BRR,CBaya.C,0.17446415502639
CBaya,C,BRR,CBaya.C,0.170698185678918
CBaya,C,BRR,CBaya.C,0.131372109610554
CBaya,C,BRR,CBaya.C,0.14529934187271
CBaya,C,BRR,CBaya.C,0.111919846808231
CBaya,C,BRR,CBaya.C,0.125091542151575
CBaya,C,BRR,CBaya.C,0.147529207787705
CBaya,C,BRR,CBaya.C,0.14615998478906
CBaya,C,BRR,CBaya.C,0.153969273268131
CBaya,C,BRR,CBaya.C,0.131161600638775
CBaya,C,BRR,CBaya.C,0.129721805001481
CBaya,C,BRR,CBaya.C,0.116813966071333
CBaya,C,BRR,CBaya.C,0.155348539936611
CBaya,C,BRR,CBaya.C,0.148438702221668
CBaya,C,BRR,CBaya.C,0.149787595827319
CBaya,C,BRR,CBaya.C,0.162015083536574
CBaya,C,BRR,CBaya.C,0.128266345494915
CBaya,C,BRR,CBaya.C,0.188305097654337
CBaya,C,BRR,CBaya.C,0.160742459543301
CBaya,C,BRR,CBaya.C,0.152641285274717
CBaya,C,BRR,CBaya.C,0.192021788186532
CBaya,C,BRR,CBaya.C,0.175803687534887
CBaya,C,BRR,CBaya.C,0.176305324055999
CBaya,C,BRR,CBaya.C,0.171647351390796
CBaya,C,BRR,CBaya.C,0.187268607227952
CBaya,C,BRR,CBaya.C,0.186537962453242
CBaya,C,BRR,CBaya.C,0.13069398026841
CBaya,C,BRR,CBaya.C,0.155365308468088
CBaya,C,BRR,CBaya.C,0.168766629469629
CBaya,C,BRR,CBaya.C,0.20526300862652
CBaya,C,BRR,CBaya.C,0.160580580643385
CBaya,C,BRR,CBaya.C,0.134475320156196
CBaya,C,BRR,CBaya.C,0.140540308722457
CBaya,C,BRR,CBaya.C,0.182170833841482
CBaya,C,BRR,CBaya.C,0.160700897252291
CBaya,C,BRR,CBaya.C,0.159349909898785
CBaya,C,BRR,CBaya.C,0.145206353444367
CBaya,C,BRR,CBaya.C,0.158007372336005
CBaya,C,BRR,CBaya.C,0.172776351727855
CBaya,C,BRR,CBaya.C,0.160916973586734
CBaya,C,BRR,CBaya.C,0.138821232495326
CBaya,C,BRR,CBaya.C,0.112391429543258
CBaya,C,BRR,CBaya.C,0.124630318320669
CBaya,C,BRR,CBaya.C,0.145763189814033
CBaya,C,BRR,CBaya.C,0.148545927854221
CBaya,C,BRR,CBaya.C,0.19884754380062
CBaya,C,BRR,CBaya.C,0.147042291720638
CBaya,C,BRR,CBaya.C,0.138102486392216
CBaya,C,BRR,CBaya.C,0.131952665991945
CBaya,C,BRR,CBaya.C,0.113859013381844
CBaya,C,BRR,CBaya.C,0.118168460989968
CBaya,C,BRR,CBaya.C,0.116633087827509
CBaya,C,BRR,CBaya.C,0.105186578144842
CBaya,C,BRR,CBaya.C,0.117730617876604
CBaya,C,BRR,CBaya.C,0.133759237138959
CBaya,C,BRR,CBaya.C,0.134796686995321
CBaya,C,BRR,CBaya.C,0.13760267428925
CBaya,C,BRR,CBaya.C,0.145192297902916
CBaya,C,BRR,CBaya.C,0.175883623157896
CBaya,C,BRR,CBaya.C,0.171057137590155
CBaya,C,BRR,CBaya.C,0.153191905446375
CBaya,C,BRR,CBaya.C,0.163832360713539
CBaya,C,BRR,CBaya.C,0.169988628391557
CBaya,C,BRR,CBaya.C,0.142147826983145
CBaya,C,BRR,CBaya.C,0.148211463081436
CBaya,C,BRR,CBaya.C,0.162298324778431
CBaya,C,BRR,CBaya.C,0.163152682460929
CBaya,C,BRR,CBaya.C,0.177164012911354
CBaya,C,BRR,CBaya.C,0.160729934981406
CBaya,C,BRR,CBaya.C,0.144062449949165
CBaya,C,BRR,CBaya.C,0.162685609838562
CBaya,C,BRR,CBaya.C,0.12384895130716
CBaya,C,BRR,CBaya.C,0.154538792318402
CBaya,C,BRR,CBaya.C,0.173344244365945
CBaya,C,BRR,CBaya.C,0.187919220288102
CBaya,C,BRR,CBaya.C,0.213955839423992
CBaya,C,BRR,CBaya.C,0.157623878791457
CBaya,C,BRR,CBaya.C,0.147720900057346
CBaya,C,BRR,CBaya.C,0.120031975265588
CBaya,C,BRR,CBaya.C,0.128474422095551
CBaya,C,BRR,CBaya.C,0.156553889907025
CBaya,C,BRR,CBaya.C,0.130561494959793
CBaya,C,BRR,CBaya.C,0.123055004505409
CBaya,C,BRR,CBaya.C,0.136633242457348
CBaya,C,BRR,CBaya.C,0.146656198603762
CBaya,C,BRR,CBaya.C,0.182011997737395
CBaya,C,BRR,CBaya.C,0.210646572202151
CBaya,C,BRR,CBaya.C,0.169003373597186
CBaya,C,BRR,CBaya.C,0.153957037051418
CBaya,C,BRR,CBaya.C,0.155403426906282
CBaya,C,BRR,CBaya.C,0.213555576374937
CBaya,C,BRR,CBaya.C,0.183865255728354
CBaya,C,BRR,CBaya.C,0.20417368441264
CBaya,C,BRR,CBaya.C,0.17918758095145
CBaya,C,BRR,CBaya.C,0.167756597075348
CBaya,C,BRR,CBaya.C,0.188732877655584
CBaya,C,BRR,CBaya.C,0.181469209463874
CBaya,C,BRR,CBaya.C,0.19394182540372
CBaya,C,BRR,CBaya.C,0.188228481625379
CBaya,C,BRR,CBaya.C,0.191026066712438
CBaya,C,BRR,CBaya.C,0.157263285129348
CBaya,C,BRR,CBaya.C,0.132487478416856
CBaya,C,BRR,CBaya.C,0.117904130855204
CBaya,C,BRR,CBaya.C,0.12536084000185
CBaya,C,BRR,CBaya.C,0.105149966630843
CBaya,C,BRR,CBaya.C,0.109925452039212
CBaya,C,BRR,CBaya.C,0.147030864486834
CBaya,C,BRR,CBaya.C,0.117617465549174
CBaya,C,BRR,CBaya.C,0.151482687837199
CBaya,C,BRR,CBaya.C,0.155527072615256
CBaya,C,BRR,CBaya.C,0.188511926050755
CBaya,C,BRR,CBaya.C,0.177558665104604
CBaya,C,BRR,CBaya.C,0.222924944389825
CBaya,C,BRR,CBaya.C,0.193219152126934
CBaya,C,BRR,CBaya.C,0.1895204931119
CBaya,C,BRR,CBaya.C,0.228886182583156
CBaya,C,BRR,CBaya.C,0.21235401184374
CBaya,C,BRR,CBaya.C,0.155692982899219
CBaya,C,BRR,CBaya.C,0.181322035675041
CBaya,C,BRR,CBaya.C,0.174843345980954
CBaya,C,BRR,CBaya.C,0.229471658813618
CBaya,C,BRR,CBaya.C,0.194755039080438
CBaya,C,BRR,CBaya.C,0.226501711918055
CBaya,C,BRR,CBaya.C,0.217186111234839
CBaya,C,BRR,CBaya.C,0.194731571316238
CBaya,C,BRR,CBaya.C,0.157253214075029
CBaya,C,BRR,CBaya.C,0.152829846677365
CBaya,C,BRR,CBaya.C,0.135505600980672
CBaya,C,BRR,CBaya.C,0.190472768554112
CBaya,C,BRR,CBaya.C,0.188190718570184
CBaya,C,BRR,CBaya.C,0.208788832910617
CBaya,C,BRR,CBaya.C,0.178742715990481
CBaya,C,BRR,CBaya.C,0.175733307898852
CBaya,C,BRR,CBaya.C,0.21251717434182
CBaya,C,BRR,CBaya.C,0.254823038839519
CBaya,C,BRR,CBaya.C,0.210653387157376
CBaya,C,BRR,CBaya.C,0.207476422220852
CBaya,C,BRR,CBaya.C,0.166276746281111
CBaya,C,BRR,CBaya.C,0.163627259604196
CBaya,C,BRR,CBaya.C,0.155957394217697
CBaya,C,BRR,CBaya.C,0.197331666831942
CBaya,C,BRR,CBaya.C,0.182326262923354
CBaya,C,BRR,CBaya.C,0.156031821806267
CBaya,C,BRR,CBaya.C,0.200614307858306
CBaya,C,BRR,CBaya.C,0.173683104615634
CBaya,C,BRR,CBaya.C,0.191656667792732
CBaya,C,BRR,CBaya.C,0.17846934858457
CBaya,C,BRR,CBaya.C,0.164730258824918
CBaya,C,BRR,CBaya.C,0.187738180886551
CBaya,C,BRR,CBaya.C,0.188572149505433
CBaya,C,BRR,CBaya.C,0.21031564761138
CBaya,C,BRR,CBaya.C,0.201404431425325
CBaya,C,BRR,CBaya.C,0.182964690538521
CBaya,C,BRR,CBaya.C,0.203519657824683
CBaya,C,BRR,CBaya.C,0.158250230197062
CBaya,C,BRR,CBaya.C,0.150603985702253
CBaya,C,BRR,CBaya.C,0.153124173952127
CBaya,C,BRR,CBaya.C,0.170653207452922
CBaya,C,BRR,CBaya.C,0.180749325479653
CBaya,C,BRR,CBaya.C,0.181739220292662
CBaya,C,BRR,CBaya.C,0.235379658710682
CBaya,C,BRR,CBaya.C,0.184371625552763
CBaya,C,BRR,CBaya.C,0.178428847525149
CBaya,C,BRR,CBaya.C,0.204453923689285
CBaya,C,BRR,CBaya.C,0.187197856284791
CBaya,C,BRR,CBaya.C,0.160145582982741
CBaya,C,BRR,CBaya.C,0.169484408537312
CBaya,C,BRR,CBaya.C,0.230088393549188
CBaya,C,BRR,CBaya.C,0.241535228868662
CBaya,C,BRR,CBaya.C,0.24416813174854
CBaya,C,BRR,CBaya.C,0.168086935716376
CBaya,C,BRR,CBaya.C,0.216087731082136
CBaya,C,BRR,CBaya.C,0.222832323155518
CBaya,C,BRR,CBaya.C,0.18474898944988
CBaya,C,BRR,CBaya.C,0.1874237492005
CBaya,C,BRR,CBaya.C,0.171697858297916
CBaya,C,BRR,CBaya.C,0.194720831786356
CBaya,C,BRR,CBaya.C,0.192285156478749
CBaya,C,BRR,CBaya.C,0.235649701626422
CBaya,C,BRR,CBaya.C,0.234982859293674
CBaya,C,BRR,CBaya.C,0.224776911080082
CBaya,C,BRR,CBaya.C,0.28612367770747
CBaya,C,BRR,CBaya.C,0.28220559135825
CBaya,C,BRR,CBaya.C,0.268062426874948
CBaya,C,BRR,CBaya.C,0.303963406318637
CBaya,C,BRR,CBaya.C,0.285030539410336
CBaya,C,BRR,CBaya.C,0.260026680381315
CBaya,C,BRR,CBaya.C,0.24935908712276
CBaya,C,BRR,CBaya.C,0.292665370770303
CBaya,C,BRR,CBaya.C,0.283589623204305
CBaya,C,BRR,CBaya.C,0.250576843541166
CBaya,C,BRR,CBaya.C,0.234941990421798
CBaya,C,BRR,CBaya.C,0.246248500080212
CBaya,C,BRR,CBaya.C,0.236216910705036
CBaya,C,BRR,CBaya.C,0.172491561966047
CBaya,C,BRR,CBaya.C,0.139242430803246
CBaya,C,BRR,CBaya.C,0.140224275302445
CBaya,C,BRR,CBaya.C,0.138502582484059
CBaya,C,BRR,CBaya.C,0.137505454450113
CBaya,C,BRR,CBaya.C,0.130249131391588
CBaya,C,BRR,CBaya.C,0.156523471769048
CBaya,C,BRR,CBaya.C,0.169757792707881
CBaya,C,BRR,CBaya.C,0.138996416367074
CBaya,C,BRR,CBaya.C,0.182465067675952
CBaya,C,BRR,CBaya.C,0.160839074257308
CBaya,C,BRR,CBaya.C,0.167932560005265
CBaya,C,BRR,CBaya.C,0.156113170828059
CBaya,C,BRR,CBaya.C,0.141002181092834
CBaya,C,BRR,CBaya.C,0.142715952551897
CBaya,C,BRR,CBaya.C,0.130810959029216
CBaya,C,BRR,CBaya.C,0.140794128732349
CBaya,C,BRR,CBaya.C,0.139048305767368
CBaya,C,BRR,CBaya.C,0.165758551759155
CBaya,C,BRR,CBaya.C,0.195643613593216
CBaya,C,BRR,CBaya.C,0.131520426067328
CBaya,C,BRR,CBaya.C,0.142747165614106
CBaya,C,BRR,CBaya.C,0.152952167271328
CBaya,C,BRR,CBaya.C,0.164720112324394
CBaya,C,BRR,CBaya.C,0.167198610014837
CBaya,C,BRR,CBaya.C,0.175882219477892
CBaya,C,BRR,CBaya.C,0.140818416118217
CBaya,C,BRR,CBaya.C,0.169639996579256
CBaya,C,BRR,CBaya.C,0.181601391390351
CBaya,C,BRR,CBaya.C,0.165734633213637
CBaya,C,BRR,CBaya.C,0.199617048419131
CBaya,C,BRR,CBaya.C,0.146022727947631
CBaya,C,BRR,CBaya.C,0.1401149792978
CBaya,C,BRR,CBaya.C,0.138976145533378
CBaya,C,BRR,CBaya.C,0.102247495103429
CBaya,C,BRR,CBaya.C,0.107731330515089
CBaya,C,BRR,CBaya.C,0.106947747343831
CBaya,C,BRR,CBaya.C,0.143035439859224
CBaya,C,BRR,CBaya.C,0.134994801805996
CBaya,C,BRR,CBaya.C,0.148152200963699
CBaya,C,BRR,CBaya.C,0.165160736450867
CBaya,C,BRR,CBaya.C,0.18321187403505
CBaya,C,BRR,CBaya.C,0.172159767748767
CBaya,C,BRR,CBaya.C,0.145113848388392
CBaya,C,BRR,CBaya.C,0.168314892851941
CBaya,C,BRR,CBaya.C,0.137266874928799
CBaya,C,BRR,CBaya.C,0.120403362991139
CBaya,C,BRR,CBaya.C,0.101576537083476
CBaya,C,BRR,CBaya.C,0.0981288253956679
CBaya,C,BRR,CBaya.C,0.104731443657952
CBaya,C,BRR,CBaya.C,0.125432108955516
CBaya,C,BRR,CBaya.C,0.147120174316034
CBaya,C,BRR,CBaya.C,0.134497001203096
CBaya,C,BRR,CBaya.C,0.119033657821394
CBaya,C,BRR,CBaya.C,0.137556090808357
CBaya,C,BRR,CBaya.C,0.115252178508124
CBaya,C,BRR,CBaya.C,0.138850201034425
CBaya,C,BRR,CBaya.C,0.111400219175729
CBaya,C,BRR,CBaya.C,0.156288583735158
CBaya,C,BRR,CBaya.C,0.183106127236221
CBaya,C,BRR,CBaya.C,0.20931599089154
CBaya,C,BRR,CBaya.C,0.198603461061972
CBaya,C,BRR,CBaya.C,0.222963070200869
CBaya,C,BRR,CBaya.C,0.207801513128616
CBaya,C,BRR,CBaya.C,0.196004229388686
CBaya,C,BRR,CBaya.C,0.183520806941996
CBaya,C,BRR,CBaya.C,0.175105399919942
CBaya,C,BRR,CBaya.C,0.14627598882969
CBaya,C,BRR,CBaya.C,0.160761839116957
CBaya,C,BRR,CBaya.C,0.158318790859597
CBaya,C,BRR,CBaya.C,0.133123472763608
CBaya,C,BRR,CBaya.C,0.12484928902648
CBaya,C,BRR,CBaya.C,0.120262416216169
CBaya,C,BRR,CBaya.C,0.119123480846833
CBaya,C,BRR,CBaya.C,0.0999611708251446
CBaya,C,BRR,CBaya.C,0.112104592379281
CBaya,C,BRR,CBaya.C,0.129667737239743
CBaya,C,BRR,CBaya.C,0.132924936034095
CBaya,C,BRR,CBaya.C,0.147562083226057
CBaya,C,BRR,CBaya.C,0.140333932017934
CBaya,C,BRR,CBaya.C,0.164877952768169
CBaya,C,BRR,CBaya.C,0.165798892362404
CBaya,C,BRR,CBaya.C,0.160305910407509
CBaya,C,BRR,CBaya.C,0.137917641017263
CBaya,C,BRR,CBaya.C,0.148335872543364
CBaya,C,BRR,CBaya.C,0.176164357530527
CBaya,C,BRR,CBaya.C,0.165155457503264
CBaya,C,BRR,CBaya.C,0.132648548286867
CBaya,C,BRR,CBaya.C,0.169922015818796
CBaya,C,BRR,CBaya.C,0.160028405122118
CBaya,C,BRR,CBaya.C,0.119785184489115
CBaya,C,BRR,CBaya.C,0.124287482651845
CBaya,C,BRR,CBaya.C,0.0943526587218821
CBaya,C,BRR,CBaya.C,0.110823304136956
CBaya,C,BRR,CBaya.C,0.103881523370455
CBaya,C,BRR,CBaya.C,0.123895740057652
CBaya,C,BRR,CBaya.C,0.0833780690343335
CBaya,C,BRR,CBaya.C,0.118661836770944
CBaya,C,BRR,CBaya.C,0.134839344603755
CBaya,C,BRR,CBaya.C,0.154833070270421
CBaya,C,BRR,CBaya.C,0.151650391062118
CBaya,C,BRR,CBaya.C,0.136310756329932
CBaya,C,BRR,CBaya.C,0.146713661479704
CBaya,C,BRR,CBaya.C,0.151068392762169
CBaya,C,BRR,CBaya.C,0.144502058740852
CBaya,C,BRR,CBaya.C,0.133496383858499
CBaya,C,BRR,CBaya.C,0.121702111468553
