Prefijo,Componentes_CHL,Modelos,Fenotipos,Heredabilidad
CPBrote,C,BRR,CPBrote.C,0.506628561399178
CPBrote,C,BRR,CPBrote.C,0.528564401909263
CPBrote,C,BRR,CPBrote.C,0.569667357768204
CPBrote,C,BRR,CPBrote.C,0.555376492435618
CPBrote,C,BRR,CPBrote.C,0.525032125679565
CPBrote,C,BRR,CPBrote.C,0.552706518474016
CPBrote,C,BRR,CPBrote.C,0.571592384879911
CPBrote,C,BRR,CPBrote.C,0.56969636185421
CPBrote,C,BRR,CPBrote.C,0.571140794817582
CPBrote,C,BRR,CPBrote.C,0.582201141801483
CPBrote,C,BRR,CPBrote.C,0.562561603371028
CPBrote,C,BRR,CPBrote.C,0.505729918193407
CPBrote,C,BRR,CPBrote.C,0.486315261026706
CPBrote,C,BRR,CPBrote.C,0.504648527247124
CPBrote,C,BRR,CPBrote.C,0.535095279649368
CPBrote,C,BRR,CPBrote.C,0.5654752959816
CPBrote,C,BRR,CPBrote.C,0.570802759420086
CPBrote,C,BRR,CPBrote.C,0.54672200387003
CPBrote,C,BRR,CPBrote.C,0.571214028233884
CPBrote,C,BRR,CPBrote.C,0.564520015450367
CPBrote,C,BRR,CPBrote.C,0.590813622787927
CPBrote,C,BRR,CPBrote.C,0.565221658246283
CPBrote,C,BRR,CPBrote.C,0.570781950446206
CPBrote,C,BRR,CPBrote.C,0.568417806938606
CPBrote,C,BRR,CPBrote.C,0.61965225914652
CPBrote,C,BRR,CPBrote.C,0.576817215247477
CPBrote,C,BRR,CPBrote.C,0.557587237685075
CPBrote,C,BRR,CPBrote.C,0.558010305376702
CPBrote,C,BRR,CPBrote.C,0.532099936261319
CPBrote,C,BRR,CPBrote.C,0.513612041261045
CPBrote,C,BRR,CPBrote.C,0.475375391076
CPBrote,C,BRR,CPBrote.C,0.529164882860575
CPBrote,C,BRR,CPBrote.C,0.541637884310871
CPBrote,C,BRR,CPBrote.C,0.550892261001517
CPBrote,C,BRR,CPBrote.C,0.544233423767689
CPBrote,C,BRR,CPBrote.C,0.518690541374353
CPBrote,C,BRR,CPBrote.C,0.578412862210797
CPBrote,C,BRR,CPBrote.C,0.567175879704437
CPBrote,C,BRR,CPBrote.C,0.571678273081622
CPBrote,C,BRR,CPBrote.C,0.53313362689852
CPBrote,C,BRR,CPBrote.C,0.550242129402446
CPBrote,C,BRR,CPBrote.C,0.604143386348284
CPBrote,C,BRR,CPBrote.C,0.507297807561195
CPBrote,C,BRR,CPBrote.C,0.524943713183623
CPBrote,C,BRR,CPBrote.C,0.554400403580164
CPBrote,C,BRR,CPBrote.C,0.509048917229131
CPBrote,C,BRR,CPBrote.C,0.551369462737782
CPBrote,C,BRR,CPBrote.C,0.543710187661632
CPBrote,C,BRR,CPBrote.C,0.562729814181651
CPBrote,C,BRR,CPBrote.C,0.532324756529207
CPBrote,C,BRR,CPBrote.C,0.483390023264717
CPBrote,C,BRR,CPBrote.C,0.492231832565159
CPBrote,C,BRR,CPBrote.C,0.500622511626911
CPBrote,C,BRR,CPBrote.C,0.542349390936913
CPBrote,C,BRR,CPBrote.C,0.57936128025096
CPBrote,C,BRR,CPBrote.C,0.594188469632068
CPBrote,C,BRR,CPBrote.C,0.575082191179345
CPBrote,C,BRR,CPBrote.C,0.581016335905228
CPBrote,C,BRR,CPBrote.C,0.625861939422569
CPBrote,C,BRR,CPBrote.C,0.588446816441754
CPBrote,C,BRR,CPBrote.C,0.573451662756885
CPBrote,C,BRR,CPBrote.C,0.565143175290083
CPBrote,C,BRR,CPBrote.C,0.584485033169955
CPBrote,C,BRR,CPBrote.C,0.493659135687813
CPBrote,C,BRR,CPBrote.C,0.550486434082105
