"trait","mean","median","ci2.5","ci97.5","n_samp","model"
"CTallo.L",0.621311069355156,0.622372932516448,0.527327651539393,0.70638180145667,1200,"BRR"
"CTallo.C",0.565665879053976,0.56686570120077,0.463076444742268,0.656373719920741,1200,"BRR"
"CTallo.H",0.307593461289589,0.303870553055043,0.222255856923456,0.4048453072266,1200,"BRR"
"CPFlor.L",0.542597380210763,0.539269345929978,0.447795155578256,0.643066612557988,1200,"BRR"
"CPFlor.C",0.561995446195624,0.564310274509781,0.455380031298583,0.658854968875973,1200,"BRR"
"CPFlor.H",0.843629229376205,0.84518442658112,0.801469634816578,0.879716585794825,1200,"BRR"
"CBaya.L",0.184041644671925,0.182708876886597,0.114733695423084,0.266047828547241,1200,"BRR"
"CBaya.C",0.162249718634577,0.158951214085173,0.109980896512237,0.240974788777799,1200,"BRR"
"CBaya.H",0.167648005061784,0.163461892460267,0.106035115420554,0.242800954352076,1200,"BRR"
"CPTuber.L",0.492104180422295,0.49382109819407,0.390961342829748,0.595137569132514,1200,"BRR"
"CPTuber.C",0.493085533187619,0.498948815719027,0.362745308190664,0.592856049385472,1200,"BRR"
"CPTuber.H",0.363661670041913,0.361608264842269,0.257389621807997,0.478521410346636,1200,"BRR"
"CSTuber.L",0.47999723542012,0.479089644596369,0.355323547511266,0.611491193082683,1200,"BRR"
"CSTuber.C",0.263864315500481,0.260384303595843,0.166770860413175,0.386448147822852,1200,"BRR"
"CSTuber.H",0.358755869671746,0.358933154129629,0.22374245409936,0.512361298849848,1200,"BRR"
"CPulpa.L",0.39014787573892,0.387357465871785,0.279130136888857,0.509417734039739,1200,"BRR"
"CPulpa.C",0.406920152026509,0.405535362938405,0.30931481122004,0.50550169071786,1200,"BRR"
"CPulpa.H",0.264503997910477,0.261530123433234,0.184778595456251,0.363851415111008,1200,"BRR"
"CSPulpa.L",0.444944820873684,0.446896559421642,0.268117962833004,0.610512548626171,1200,"BRR"
"CSPulpa.C",0.54066272509386,0.544767709531676,0.29157703255551,0.772353505164868,1200,"BRR"
"CSPulpa.H",0.951127957821136,0.952768851032844,0.920344366224628,0.971739232066751,1200,"BRR"
"CPBrote.L",0.343597202710553,0.34266709259116,0.244166419445708,0.446978533177031,1200,"BRR"
"CPBrote.C",0.547055735205636,0.550721776886295,0.444880964475968,0.64456400211951,1200,"BRR"
"CPBrote.H",0.232335554754233,0.231387570479757,0.14971555402762,0.327603932174664,1200,"BRR"
"CSBrote.L",0.199573708221167,0.19651804171266,0.134223627683249,0.280971281648064,1200,"BRR"
"CSBrote.C",0.217289385869674,0.215906963398685,0.138740906438212,0.306188154345394,1200,"BRR"
"CSBrote.H",0.228560798452947,0.227217050465374,0.142776163680269,0.328143073890208,1200,"BRR"
