Prefijo,CHL_Components,Modelos,Fenotipos,Heritability
PCSprout,C,BRR,PCSprout.C,0.506628561399178
PCSprout,C,BRR,PCSprout.C,0.528564401909263
PCSprout,C,BRR,PCSprout.C,0.569667357768204
PCSprout,C,BRR,PCSprout.C,0.555376492435618
PCSprout,C,BRR,PCSprout.C,0.525032125679565
PCSprout,C,BRR,PCSprout.C,0.552706518474016
PCSprout,C,BRR,PCSprout.C,0.571592384879911
PCSprout,C,BRR,PCSprout.C,0.56969636185421
PCSprout,C,BRR,PCSprout.C,0.571140794817582
PCSprout,C,BRR,PCSprout.C,0.582201141801483
PCSprout,C,BRR,PCSprout.C,0.562561603371028
PCSprout,C,BRR,PCSprout.C,0.505729918193407
PCSprout,C,BRR,PCSprout.C,0.486315261026706
PCSprout,C,BRR,PCSprout.C,0.504648527247124
PCSprout,C,BRR,PCSprout.C,0.535095279649368
PCSprout,C,BRR,PCSprout.C,0.5654752959816
PCSprout,C,BRR,PCSprout.C,0.570802759420086
PCSprout,C,BRR,PCSprout.C,0.54672200387003
PCSprout,C,BRR,PCSprout.C,0.571214028233884
PCSprout,C,BRR,PCSprout.C,0.564520015450367
PCSprout,C,BRR,PCSprout.C,0.590813622787927
PCSprout,C,BRR,PCSprout.C,0.565221658246283
PCSprout,C,BRR,PCSprout.C,0.570781950446206
PCSprout,C,BRR,PCSprout.C,0.568417806938606
PCSprout,C,BRR,PCSprout.C,0.61965225914652
PCSprout,C,BRR,PCSprout.C,0.576817215247477
PCSprout,C,BRR,PCSprout.C,0.557587237685075
PCSprout,C,BRR,PCSprout.C,0.558010305376702
PCSprout,C,BRR,PCSprout.C,0.532099936261319
PCSprout,C,BRR,PCSprout.C,0.513612041261045
PCSprout,C,BRR,PCSprout.C,0.475375391076
PCSprout,C,BRR,PCSprout.C,0.529164882860575
PCSprout,C,BRR,PCSprout.C,0.541637884310871
PCSprout,C,BRR,PCSprout.C,0.550892261001517
PCSprout,C,BRR,PCSprout.C,0.544233423767689
PCSprout,C,BRR,PCSprout.C,0.518690541374353
PCSprout,C,BRR,PCSprout.C,0.578412862210797
PCSprout,C,BRR,PCSprout.C,0.567175879704437
PCSprout,C,BRR,PCSprout.C,0.571678273081622
PCSprout,C,BRR,PCSprout.C,0.53313362689852
PCSprout,C,BRR,PCSprout.C,0.550242129402446
PCSprout,C,BRR,PCSprout.C,0.604143386348284
PCSprout,C,BRR,PCSprout.C,0.507297807561195
PCSprout,C,BRR,PCSprout.C,0.524943713183623
PCSprout,C,BRR,PCSprout.C,0.554400403580164
PCSprout,C,BRR,PCSprout.C,0.509048917229131
PCSprout,C,BRR,PCSprout.C,0.551369462737782
PCSprout,C,BRR,PCSprout.C,0.543710187661632
PCSprout,C,BRR,PCSprout.C,0.562729814181651
PCSprout,C,BRR,PCSprout.C,0.532324756529207
PCSprout,C,BRR,PCSprout.C,0.483390023264717
PCSprout,C,BRR,PCSprout.C,0.492231832565159
PCSprout,C,BRR,PCSprout.C,0.500622511626911
PCSprout,C,BRR,PCSprout.C,0.542349390936913
PCSprout,C,BRR,PCSprout.C,0.57936128025096
PCSprout,C,BRR,PCSprout.C,0.594188469632068
PCSprout,C,BRR,PCSprout.C,0.575082191179345
PCSprout,C,BRR,PCSprout.C,0.581016335905228
PCSprout,C,BRR,PCSprout.C,0.625861939422569
PCSprout,C,BRR,PCSprout.C,0.588446816441754
PCSprout,C,BRR,PCSprout.C,0.573451662756885
PCSprout,C,BRR,PCSprout.C,0.565143175290083
PCSprout,C,BRR,PCSprout.C,0.584485033169955
PCSprout,C,BRR,PCSprout.C,0.493659135687813
PCSprout,C,BRR,PCSprout.C,0.550486434082105
PCSprout,C,BRR,PCSprout.C,0.522858798900531
PCSprout,C,BRR,PCSprout.C,0.523954722007009
PCSprout,C,BRR,PCSprout.C,0.561471560948797
PCSprout,C,BRR,PCSprout.C,0.546396359929485
PCSprout,C,BRR,PCSprout.C,0.531526137284192
PCSprout,C,BRR,PCSprout.C,0.532707697853341
PCSprout,C,BRR,PCSprout.C,0.533775468097643
PCSprout,C,BRR,PCSprout.C,0.56148114542489
PCSprout,C,BRR,PCSprout.C,0.520644294325126
PCSprout,C,BRR,PCSprout.C,0.450464110637639
